epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,8201.05,0.52231,0.68793,1.1263,0.96546,0.98713,0.98816,0.88545,0.49749,0.30361,1.18074,0.00013072,0.00013072,0.00013072
70,8318.49,0.53092,0.69967,1.13133,0.95375,0.98525,0.98695,0.88338,0.50908,0.30694,1.1967,0.00012676,0.00012676,0.00012676
71,8435.96,0.53013,0.68591,1.12793,0.97874,0.98152,0.98774,0.88458,0.49201,0.30009,1.17699,0.0001228,0.0001228,0.0001228
72,8553.17,0.51834,0.67583,1.12021,0.95623,0.9867,0.98676,0.88458,0.49453,0.29766,1.17847,0.00011884,0.00011884,0.00011884
73,8670.77,0.5191,0.67539,1.12412,0.97069,0.97578,0.9875,0.8857,0.49316,0.29263,1.17659,0.00011488,0.00011488,0.00011488
74,8788.28,0.52221,0.67435,1.12614,0.97637,0.97785,0.98676,0.88529,0.49097,0.29265,1.17663,0.00011092,0.00011092,0.00011092
75,8905.61,0.51936,0.66056,1.12267,0.97247,0.97784,0.98751,0.88478,0.48963,0.29121,1.17368,0.00010696,0.00010696,0.00010696
76,9024.81,0.51711,0.65051,1.12179,0.97734,0.97632,0.98773,0.88528,0.49552,0.29289,1.17946,0.000103,0.000103,0.000103
77,9143.85,0.52015,0.65829,1.1267,0.97417,0.97844,0.98722,0.88878,0.489,0.29004,1.17334,9.904e-05,9.904e-05,9.904e-05
78,9263.01,0.51679,0.64464,1.12532,0.97448,0.97194,0.98669,0.88586,0.48526,0.29561,1.17314,9.508e-05,9.508e-05,9.508e-05
79,9380.67,0.51208,0.648,1.12067,0.97592,0.97325,0.98623,0.88656,0.49081,0.28893,1.17311,9.112e-05,9.112e-05,9.112e-05
80,9499.93,0.50995,0.64272,1.1195,0.97352,0.97815,0.98718,0.88755,0.4865,0.29375,1.16861,8.716e-05,8.716e-05,8.716e-05
81,9617.26,0.51242,0.64798,1.11987,0.98123,0.96608,0.98527,0.88297,0.48977,0.29547,1.1735,8.32e-05,8.32e-05,8.32e-05
82,9736.42,0.51323,0.63313,1.12377,0.97865,0.97038,0.98702,0.88394,0.49567,0.28809,1.17621,7.924e-05,7.924e-05,7.924e-05
83,9855.41,0.50376,0.62937,1.11525,0.96521,0.97838,0.98611,0.88726,0.49223,0.29239,1.17465,7.528e-05,7.528e-05,7.528e-05
84,9974.41,0.50996,0.62617,1.11545,0.97436,0.97367,0.98647,0.88956,0.48751,0.29044,1.16747,7.132e-05,7.132e-05,7.132e-05
85,10093.5,0.49633,0.60898,1.1128,0.97087,0.97407,0.98628,0.8903,0.48381,0.28887,1.16147,6.736e-05,6.736e-05,6.736e-05
86,10211.1,0.50316,0.60939,1.11214,0.96532,0.97455,0.9861,0.89214,0.48042,0.28655,1.16002,6.34e-05,6.34e-05,6.34e-05
87,10328.8,0.50365,0.60865,1.11593,0.97286,0.97597,0.98639,0.88882,0.48369,0.27683,1.16296,5.944e-05,5.944e-05,5.944e-05
88,10447.8,0.49819,0.59878,1.11237,0.97685,0.97351,0.98666,0.88886,0.48294,0.28262,1.1649,5.548e-05,5.548e-05,5.548e-05
89,10567,0.49878,0.60679,1.10932,0.98208,0.96874,0.9865,0.89048,0.48416,0.28349,1.16354,5.152e-05,5.152e-05,5.152e-05
90,10684.3,0.49264,0.59363,1.10803,0.97391,0.97463,0.98636,0.8883,0.48026,0.28022,1.15785,4.756e-05,4.756e-05,4.756e-05
91,10826.5,0.38491,0.32074,1.13853,0.97631,0.97428,0.988,0.88917,0.48563,0.29137,1.16369,4.36e-05,4.36e-05,4.36e-05
92,10945.5,0.37062,0.29121,1.12048,0.96948,0.97995,0.98767,0.88859,0.48634,0.29317,1.16414,3.964e-05,3.964e-05,3.964e-05
93,11064,0.36661,0.27799,1.11414,0.96752,0.98853,0.98822,0.89168,0.48515,0.28353,1.16274,3.568e-05,3.568e-05,3.568e-05
94,11180.6,0.36697,0.26748,1.11068,0.97174,0.98594,0.98825,0.89176,0.48616,0.28242,1.16348,3.172e-05,3.172e-05,3.172e-05
95,11297.2,0.35907,0.26146,1.10473,0.97581,0.98171,0.98814,0.88774,0.48247,0.27788,1.15691,2.776e-05,2.776e-05,2.776e-05
96,11414.5,0.35697,0.25677,1.09903,0.96769,0.98836,0.98839,0.89187,0.48091,0.2757,1.15565,2.38e-05,2.38e-05,2.38e-05
97,11531.5,0.35053,0.24996,1.09852,0.96915,0.98757,0.98849,0.89006,0.48101,0.27554,1.15625,1.984e-05,1.984e-05,1.984e-05
98,11648.3,0.35316,0.2439,1.09715,0.96363,0.99107,0.98806,0.89325,0.48127,0.27452,1.15598,1.588e-05,1.588e-05,1.588e-05
99,11765.1,0.34748,0.24248,1.09956,0.96793,0.99077,0.9887,0.89291,0.48017,0.27578,1.15465,1.192e-05,1.192e-05,1.192e-05
100,11882.2,0.34543,0.24595,1.09292,0.96978,0.98883,0.9886,0.89399,0.47917,0.2726,1.15473,7.96e-06,7.96e-06,7.96e-06
