epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,695.332,0.61813,0.35098,0.97919,0.9974,0.98795,0.995,0.84281,0.64314,0.31708,0.98048,0.0004085,0.0004085,0.0004085
70,705.7,0.63983,0.37457,0.98429,0.997,0.98909,0.995,0.84803,0.63581,0.32619,0.96186,0.000396125,0.000396125,0.000396125
71,715.969,0.62189,0.36126,0.98523,0.98988,0.99808,0.995,0.85716,0.62568,0.31083,0.95709,0.00038375,0.00038375,0.00038375
72,725.82,0.62375,0.35582,0.97346,0.98916,0.9979,0.995,0.84456,0.63295,0.3236,0.96586,0.000371375,0.000371375,0.000371375
73,735.543,0.62823,0.36392,0.99243,0.99753,0.98984,0.995,0.83742,0.65329,0.31281,0.991,0.000359,0.000359,0.000359
74,745.084,0.63805,0.36665,0.99304,0.9976,0.98905,0.995,0.83861,0.63834,0.31798,0.97727,0.000346625,0.000346625,0.000346625
75,755.021,0.61181,0.36117,0.97935,0.99754,0.98853,0.995,0.83879,0.65249,0.33024,0.98249,0.00033425,0.00033425,0.00033425
76,764.592,0.65775,0.36238,0.98473,0.98999,0.99789,0.995,0.85289,0.63214,0.3074,0.96872,0.000321875,0.000321875,0.000321875
77,774.446,0.60268,0.34197,0.95723,0.99128,0.99803,0.995,0.84275,0.65504,0.31687,0.99536,0.0003095,0.0003095,0.0003095
78,784.148,0.61997,0.34852,0.96899,0.994,0.99914,0.995,0.84822,0.65403,0.3163,0.98365,0.000297125,0.000297125,0.000297125
79,794.373,0.60172,0.33889,0.96481,0.99628,1,0.995,0.84897,0.633,0.30748,0.97125,0.00028475,0.00028475,0.00028475
80,803.834,0.61958,0.33407,0.96262,0.99602,1,0.995,0.84738,0.63805,0.31857,0.97373,0.000272375,0.000272375,0.000272375
81,813.235,0.61513,0.34434,0.98709,0.99646,1,0.995,0.84955,0.63291,0.30697,0.96861,0.00026,0.00026,0.00026
82,822.707,0.58343,0.32856,0.96907,0.9962,1,0.995,0.85877,0.61528,0.2876,0.96134,0.000247625,0.000247625,0.000247625
83,832.135,0.59174,0.32037,0.95946,0.99622,1,0.995,0.85457,0.63226,0.29156,0.96435,0.00023525,0.00023525,0.00023525
84,841.706,0.57528,0.31941,0.95258,0.99529,0.99964,0.995,0.85358,0.62478,0.29837,0.96126,0.000222875,0.000222875,0.000222875
85,851.182,0.5838,0.33718,0.96338,0.994,0.99948,0.995,0.86796,0.61224,0.29576,0.95572,0.0002105,0.0002105,0.0002105
86,860.764,0.5932,0.34668,0.97083,0.99178,0.99915,0.995,0.85706,0.62214,0.28231,0.96184,0.000198125,0.000198125,0.000198125
87,870.195,0.57548,0.32796,0.95402,0.99366,1,0.995,0.85875,0.62265,0.28101,0.96635,0.00018575,0.00018575,0.00018575
88,879.658,0.60397,0.32362,0.99863,0.99555,1,0.995,0.85469,0.63404,0.2852,0.97294,0.000173375,0.000173375,0.000173375
89,889.248,0.58128,0.32334,0.95308,0.9957,1,0.995,0.84483,0.64664,0.29265,0.98204,0.000161,0.000161,0.000161
90,898.898,0.56707,0.31363,0.94133,0.99658,1,0.995,0.85827,0.62093,0.27869,0.96395,0.000148625,0.000148625,0.000148625
91,958.555,0.51698,0.27065,0.93326,0.99559,1,0.995,0.85126,0.6432,0.2856,0.97548,0.00013625,0.00013625,0.00013625
92,968.04,0.5153,0.27821,0.92383,0.99622,1,0.995,0.85317,0.65538,0.29379,0.98023,0.000123875,0.000123875,0.000123875
93,977.485,0.49874,0.26302,0.93302,0.99684,1,0.995,0.85659,0.62372,0.28946,0.96501,0.0001115,0.0001115,0.0001115
94,987.031,0.51327,0.2648,0.92466,0.99648,1,0.995,0.85826,0.62181,0.28462,0.96483,9.9125e-05,9.9125e-05,9.9125e-05
95,996.624,0.49347,0.26781,0.92332,0.99694,1,0.995,0.85053,0.6259,0.28605,0.96833,8.675e-05,8.675e-05,8.675e-05
96,1006.09,0.49062,0.2603,0.90992,0.99662,1,0.995,0.84905,0.62672,0.28686,0.97091,7.4375e-05,7.4375e-05,7.4375e-05
97,1015.46,0.5099,0.26642,0.96631,0.99691,1,0.995,0.85128,0.61399,0.27359,0.96429,6.2e-05,6.2e-05,6.2e-05
98,1024.84,0.48338,0.25389,0.919,0.99671,1,0.995,0.85582,0.61395,0.27628,0.96416,4.9625e-05,4.9625e-05,4.9625e-05
99,1034.33,0.48468,0.25564,0.90097,0.99683,1,0.995,0.85073,0.61806,0.27915,0.9662,3.725e-05,3.725e-05,3.725e-05
100,1043.79,0.49009,0.25732,0.92779,0.99661,1,0.995,0.84709,0.62001,0.27996,0.96655,2.4875e-05,2.4875e-05,2.4875e-05
